category,channel_id,channel_name,rank,slug,started,subscribers,video_count,video_views
Science & Technology,UC4I8H3mVdF9_JfbzmB7kbCA,SKY CHANNEL,1,sky-channel-4883a1b5-2e5a-4833-80a4-474e8905f322,2021,"10,300,000",106,"5,430,377,994"
Science & Technology,UCgcm5qPCEeaJ9xM50LS7GGg,Tiền Zombie v4,8,ti-n-zombie-v4,2015,"2,470,000","1,181","908,857,474"
Science & Technology,UCyQobySFx_h9oFwsBV0KGdg,Tinh tế,11,tinh-t,2009,"1,020,000","13,814","590,605,249"
Science & Technology,UCDri2yZO_tqdD70bK-D7iQg,AnhEm TV,9,sforum-channel-vn,2012,"1,520,000","2,599","903,431,239"
Science & Technology,UCtnIG6vdEJv5nzvr4cWzUaQ,Koha Discovery,7,koha-discovery,2015,"1,040,000",382,"1,098,425,674"
Science & Technology,UCilo7PrAr98E2yhUlh5AmEA,MobileCity,12,mobilecity,2019,"391,000","7,074","440,262,430"
Science & Technology,UC0fr7L8Q0W0_Nsn6uv7fpzA,Amazing tools,2,amazing-tools,2022,"5,570,000",242,"5,177,773,305"
Science & Technology,UCvJ8leyn7YWgqmbmw1R5ZVg,Dương Dê,5,d-ng-de,2018,"2,600,000","9,598","2,872,377,725"
Science & Technology,UC9Pj0EUibBF295jWHRSDJqg,Schannel,4,schannel,2009,"3,960,000","13,791","3,459,369,361"
Science & Technology,UCEeXA5Tu7n9X5_zkOgGsyww,Vật Vờ Studio,6,vinh-v-t-v,2009,"2,320,000","7,157","1,172,246,148"
Science & Technology,UC35gdWUdW1hzgS02Oz8kMUQ,CD Media - Quân Sự,15,cdteam-ki-n-th-c-quan-s,2010,"905,000","1,316","359,859,607"
Science & Technology,UCSGD1TbYm5ZEZtGKQlkZ69A,Samsung Vietnam,3,samsungvietnam,2011,"2,260,000","2,881","3,903,449,855"
Science & Technology,UC0hOiSWbbkNTp_Yu-0WIUEQ,Mechanical Equipment,10,c-a-hang-v-t-t,2019,"802,000",560,"836,893,634"
Science & Technology,UCFTmKjjQZRTmiTzoRRGOlKg,ĐAM MÊ CÔNG NGHỆ,17,dam-me-cong-ngh,2013,"598,000","10,926","354,839,109"
Science & Technology,UCXWQVZ43DC4jlaLrKuQ7HYQ,GiaoHeo,14,giaoheo,2011,"647,000",611,"400,216,027"
Science & Technology,UCSKIOXJnHEzSqA3JlvxUFYA,OPPO Vietnam,13,oppo-vietnam,2012,"1,040,000",371,"412,072,487"
Science & Technology,UCxwtUrdQBVQaDCDSQOelpFg,Mưa,108,ngh-thu-t-va-ch-t-o,2016,109,9,"1,351"
Science & Technology,UCr1dJRzcYmx_UqaB1taG0zw,Xe Campuchia Nhập,106,channel-cay-d-a,2017,"39,700",2,"1,432"
Science & Technology,UCu2gIU_tXm2627K61WHtV1Q,Yêu Khoa Học,103,cst-yeu-khoa-h-c,2015,"113,000",1,"14,267"
Science & Technology,UCRRUUGwbchsSCHVrEZLOQMg,Tảo Mặt Trời,100,t-o-m-t-tr-i,2012,688,72,"141,428"
Science & Technology,UCGUmuh6owq52pBiGQ7ed6Iw,KunPip Pun,102,kunpip-pun,2015,"1,525",28,"19,542"
Science & Technology,UCiuo8YELub1inEabfN5rsUA,Soda Top,105,y-khoa-tay-nguyen,2015,"6,335",7,"1,568"
Science & Technology,UCk3KL3eJ9rfXaWm7MOxeBug,Viễn Thông Hoàng Gia,98,vi-n-thong-hoang-gia,2013,937,78,"214,338"
Science & Technology,UCFhgeqc-_QoyL3lkLT7i09Q,Nga Nguyễn Phương,96,nga-nguy-n-ph-ng,2018,886,"2,054","439,524"
Science & Technology,UC4ucQ7dC_qmrmnDeWXmnI6A,KÊNH CHẾ TẠO,95,rion-mizokuchi,2012,"15,100",23,"492,252"
Science & Technology,UCEjZfl8DraXIH3rla9yppuQ,Nguyễn Tuấn Anh,94,hai-h-c-gi-i-tri,2013,"1,700",26,"492,310"
Science & Technology,UCTc-kpZNMDSak82JlnkGsJw,5 Phút Chế Tạo,93,5-phut-ch-t-o,2018,"2,500",30,"587,158"
Science & Technology,UCQC4wbpwNrza3DmT8jqRhwA,Cơm Thêm TV,92,bi-n-kinh-hoang,2016,"445,000",44,"606,994"
Science & Technology,UCtVXkYgoN05CJe2h8zE8crQ,ITshop Hà Nội,89,itshop-ha-n-i,2012,"51,700",91,"822,974"
Science & Technology,UCxffNMTmWvKkNjv1YnF7A5A,Tranut Vlog,90,animals-930b5b1b-1c09-4c14-a281-fd3b35ed3ae6,2015,"214,000",42,"731,790"
Science & Technology,UCw4_6tA1PW9E4hKoLBe4SkQ,HPTCTechnologyChannel,88,hptctechnologychannel,2017,"5,952",177,"1,015,146"
Science & Technology,UCdnhUBRKUpc4yBxF5hxengA,Tin Tức Mỗi Ngày,84,tin-t-c-m-i-ngay-5b384daa-096c-4a7c-aabf-63110f530b7a,2011,"6,480",57,"2,003,104"
Science & Technology,UCbtIRBVmm0lVgFPTxn0diMQ,laptopsv47,86,laptopsv47,2016,"1,251",49,"1,255,875"
Science & Technology,UCrx0UGtpjCeVXTvFcXhLjiQ,Máy sấy Thiên Nam Thien Nam Dryer,85,may-s-y-thien-nam-thien-nam-dryer,2011,"3,640",155,"1,496,559"
Science & Technology,UCgJisC31ED3UKyhdZBx2guw,HOAI AN,87,hoai-an,2017,"4,890",188,"1,203,639"
Science & Technology,UCSr7vka-lipWQP6a6Fdmvwg,Tưới tự động - Tưới nhỏ giọt Việt An Nông,82,tuoi-nong-nghiep-i-vi-t-an-nong,2011,"6,560",516,"3,038,528"
Science & Technology,UC6FhskCAD3HlbDuDDGk5N8g,436 Xã Đàn Hà Nội Thaihadigital,80,436-xa-dan-ha-n-i-thaihadigital,2008,"3,380","2,468","4,133,232"
Science & Technology,UCEBOW_EPh9EuUvB83F-jTSw,Bắc Foy,83,lam-n-m,2018,"91,800",57,"2,006,441"
Science & Technology,UC1o7odxtXYE8dAzmNq24g9A,VietMed,81,vietmed,2010,"4,730",92,"3,997,097"
Science & Technology,UCWLc7_ECdxG212Esu_TQ79w,Lê Sang - Bao da & Ốp lưng Hàng hiệu,79,le-sang-bao-da-p-l-ng-hang-hi-u,2010,"15,900",629,"4,561,984"
Science & Technology,UCUGkp4p_d7QnOWxxow0lreA,RUỘNG LÚA MIỀN TÂY,77,ru-ng-lua-mi-n-tay,2013,"21,800",704,"5,242,695"
Science & Technology,UCz-ARmx9ysM7b2reniqbs0g,CD HAY Studio,76,cd-hay-studio,2007,"46,000",859,"6,459,862"
Science & Technology,UC10QVkKRPqgkze5Pl5sDxJw,RNV,74,rnv,2018,"52,000",98,"7,359,395"
Science & Technology,UC5TlfyZRgWmutaqI7OOV1TQ,THÍCH ĐỒ CŨ - SHOPLOA,75,thich-d-cu-shoploa,2015,"69,300",394,"7,186,663"
Science & Technology,UCIaESRQShYxNLrxLLVcx9PQ,Lăng Kính Công Nghệ,73,lang-kinh-cong-ngh,2015,"24,300",805,"8,690,062"
Science & Technology,UCShWlgS-cibxoy_sUvg1I6g,S Việt Nam,69,svietnamchannel,2011,"24,200","1,532","14,821,106"
Science & Technology,UCMHYvFGh9wZ20sLbtVoJDTw,Didong Caocap,71,didong-caocap,2014,"22,700","13,457","12,479,504"
Science & Technology,UCdrVOK0rlKUD2HbeSpXn7Yw,KÊNH GIẢI TRÍ TỔNG HỢP - Võ Quang Sơn,70,kenh-gi-i-tri-t-ng-h-p-vo-quang-s-n,2019,"111,000","1,502","12,976,211"
Science & Technology,UCxKs94kCIkzyHVnynXmndBQ,Notch Tech,66,notch-tech,2022,"21,200",40,"19,658,667"
Science & Technology,UCUMy9tsZz0yuz3dZjJms9-w,HALO SHOP,68,haloshop-vn,2011,"38,200","1,498","15,610,530"
Science & Technology,UCEHIzGF7KtLqyBgH-CgrTMw,Viện Thẩm Mỹ Y Khoa Dr.Hải Lê,72,vi-n-th-m-m-y-khoa-dr-h-i-le,2013,"21,900","3,828","11,512,289"
Science & Technology,UCthNAHnC7U45UU9Vh_DW1pA,Store Ưu Việt,67,store-u-vi-t,2014,"22,300",204,"16,165,939"
Science & Technology,UCNkzEEcWtds4CcfGjJP1bmA,ShopDunk,64,shopdunk,2013,"508,000",720,"22,540,324"
Science & Technology,UCiYYo7oPjA_MQ9i7-zoNfGA,Tài Xài Tech,62,tai-phen,2011,"108,000",942,"25,301,812"
Science & Technology,UCwY_rFadzp2uq5qc_5FzCwQ,DuyAnh by Day,63,duyanh-by-day,2019,"76,100",258,"22,778,732"
Science & Technology,UCyoQY5n_Q6xoLTxf0g6fPDw,Lâm SmartWatch,65,lam-smartwatch,2012,"119,000",320,"21,656,360"
Science & Technology,UCnvIB69Hksq0o6ZVcJbVvVA,Shop Linh Kiện CKT - Tuyển,61,shop-linh-ki-n-ckt-tuy-n,2013,"216,000",449,"32,475,918"
Science & Technology,UCi0wZbtAP7VUjjh8Wo0OKaA,Clip Camera TV,59,clip-camera,2022,"67,100","1,085","34,048,150"
Science & Technology,UCa_Uit8XbgQF185I9nFyIrg,Điện thoại Phát Thành,58,di-n-tho-i-phat-thanh,2014,"47,500",369,"36,579,138"
Science & Technology,UCskCF24Q1oTIY09xUwn2_uA,Hchannel,60,hnam-mobile,2014,"73,700","1,556","33,886,127"
Science & Technology,UC9wy6vcaxVwFkNJIMTclQmg,MSmobile,57,mschannel,2012,"134,000",788,"39,186,534"
Science & Technology,UCkqP2gfSw9L1cXvFEram6Jw,MAI NGUYEN TV,54,mai-nguyen-6ac106bf-ea2b-46ea-bf2e-e3fb7f9556e5,2009,"76,200","1,910","41,094,037"
Science & Technology,UCLLBHOyNZNH_spg0Sx_ZWCA,Khóa Chống Trộm Ánh Dương,56,chongtromxethongminh,2013,"132,000","2,452","40,032,011"
Science & Technology,UCm6HefGyhKWdN5V6QTII_Ug,Neyako,53,neyako,2017,"79,200",631,"46,452,195"
Science & Technology,UCzmwbVu0TL8TvNZrI6nxVFQ,SH TECH,52,sup-heo,2009,"206,000","1,455","52,754,668"
Science & Technology,UCVNirQaSfugW4yA2C5YrClQ,Kiến Sĩ,55,ki-n-si,2023,"41,700",449,"40,315,005"
Science & Technology,UCAiyaD9ZXhHneWzQrwfTKbA,Kênh Khám Phá,50,ph-m-van-hoang-kenh-kham-pha,2012,"181,000",387,"53,733,750"
Science & Technology,UCAki4HQd6NFjYdPRyJPZjUQ,Viettablet,49,viettablet,2015,"141,000","3,361","59,231,668"
Science & Technology,UCcZwYnUCiErT6hujfIZaJxA,The Pixel,47,the-pixel,2015,"170,000","2,197","68,583,234"
Science & Technology,UCbOwcjO4YSGOe8-gucxIkUQ,Corteva Agriscience,48,corteva-agriscience,2017,"37,200","3,409","63,683,656"
Science & Technology,UCP6GmWcrpyEVmJ-3eZ3OimA,Cộng Review,45,c-ng-review,2016,"268,000","2,893","74,548,733"
Science & Technology,UCtXQfrdPKaR-5zQQfY2WLoQ,Zing Podcast,46,zing-cong-ngh,2013,"279,000","2,136","72,767,216"
Science & Technology,UCQrbmxwY327NWWVzmmAZhfQ,Điện Thoại Vui TV,43,di-n-tho-i-vui,2018,"229,000","3,707","85,548,637"
Science & Technology,UCAAIyEv4S3SyWc0Os60THSg,MỘT VIDEO,41,m-t-video,2015,"106,000",969,"94,079,843"
Science & Technology,UClsxUfUP7ZjpqTBg9Co8zJQ,Pc gaming,42,pc-gaming,2012,"250,000","1,264","87,717,829"
Science & Technology,UCFoD8gJdm_ID3Qw3-yU8iyw,CLICKBUY CHANNEL,38,clickbuy-channel,2013,"347,000","3,019","99,699,244"
Science & Technology,UCi_9bpEsaAiVTGaqshUnddg,LAPTOP AZ,44,laptop-az,2017,"98,000","2,048","77,797,742"
Science & Technology,UCgCd-WPtKWLEJV9yTcdJd0w,Gia công Mỹ phẩm 3C,39,gia-cong-m-ph-m-3c,2016,"67,400",324,"99,506,214"
Science & Technology,UCbCZtTYRObLIj0eqQ8vRITg,Thời cùi bắp,40,th-i-cui-b-p,2019,"73,200",726,"97,060,395"
Science & Technology,UCJldhQxDDHyjngoY_Dx2kJg,TechMag Vietnam,37,techmag-vietnam,2016,"282,000","3,852","101,099,069"
Science & Technology,UCYt8h4ptk3ZG2sbplFB3mjQ,PHONG DIY,36,phong-diy,2013,"372,000",948,"104,450,323"
Science & Technology,UCzBgHiLW1QRNnwHTrQKqo7A,TLD Digital,35,tld-digital,2012,"193,000","6,582","118,574,480"
Science & Technology,UCMRCjWYwR5p2Plp_0ehIG6g,ThinkView,34,thinkview,2015,"355,000","1,970","121,210,863"
Science & Technology,UCqQy8WzbxsJwt2Og-zOMV-w,Xe điện PEGA - HKBike Fan Club,32,xe-d-p-di-n-xe-may-di-n-pega-hkbike,2013,"155,000",255,"142,281,222"
Science & Technology,UCReIrO3npnrMpRzB5xgE7fQ,FPT Shop,31,fptshop-com-vn,2015,"347,000","3,897","146,550,615"
Science & Technology,UCJaCuWnisSqqLIKyK-2y-Zw,Long 3D Printing,29,long-3d-printing,2015,"215,000",252,"167,977,454"
Science & Technology,UCjgIWRJA-vsSecgi5KHMqRw,Happy Farm,30,happy-farm-e02f85a1-2167-4783-b17c-95fbfd365675,2012,"226,000",211,"166,029,528"
Science & Technology,UCdxRpD_T4-HzPsely-Fcezw,GEARVN,27,gearvn,2017,"506,000","2,960","179,752,117"
Science & Technology,UClAoXGpwSi4bgwBLuZKxsnQ,Thế Giới Di Động,26,th-gi-i-di-d-ng,2013,"872,000","4,201","208,214,064"
Science & Technology,UCli_RJkGWfZvw4IlDLHNCQg,thang010146,23,thang010146,2010,"361,000","3,990","277,425,534"
Science & Technology,UCbqS7BTNUNDlZs__mD-vbXQ,dReviews,28,dreviews,2012,"414,000","5,386","178,572,232"
Science & Technology,UCvckir3Kq2WThY3k_34ZGNw,BLV Anh Quân Discovery,25,blv-anh-quan-discovery,2021,"573,000","1,852","208,765,825"
Science & Technology,UCE0DR8jOKbNYWeIHuFfZ7dg,Xstudios,24,x-studios,2014,"522,000","5,593","213,402,226"
Science & Technology,UCh7SM7ie1f7haRcoQq3ZHtw,Maymocviet-vn Vinmax,33,maymocviet-vn-vinmax,2012,"235,000","3,965","128,162,136"
Science & Technology,UC51C6xp5m5o9eF48Y-GmeUg,Lifebuoy Vietnam,20,lifebuoy-vietnam,2013,"119,000",205,"298,068,159"
Science & Technology,UC43jjQ1DCtaniAq_Zw6KFjQ,Admin Kha,21,admin-kha,2019,"380,000","2,687","297,211,139"
Science & Technology,UC7CplVVDYKBeraVcPuI3xUQ,Tony Phùng Studio,22,tony-phung-studio,2015,"618,000","5,609","294,183,541"
Science & Technology,UCkmZHGZUk3xM_E2CryIFhEQ,Just For Fun,16,just-for-fun,2015,"746,280",38,"355,937,696"
Science & Technology,UCjjsDJeZ0Kg7MhhiMmSUInw,Tuấn Ngọc đây!,19,tu-n-ng-c-day,2018,"361,000","1,009","312,563,892"
Science & Technology,UCANiZimS0Dr6zmr_581CoLQ,Tháp Xanh - Nông Nghiệp 4.0,18,thap-xanh-nong-nghi-p-4-0,2017,"377,000","4,027","354,290,539"
